group,method,mean_radial_error,mean_phase_error,mean_role_error,mean_control_ratio,role_coverage,assignment_utility,compatible_utility,mean_current_magnitude,min_separation,collision_violations,beta,current_scale,mode,scenario,mean_role_error_mean,mean_role_error_std,min_separation_mean,min_separation_std,collision_violations_mean,collision_violations_std,unique_assignments,zero_collision_rate,agents,roles,gmraccr_ms_mean,gmraccr_ms_std,auction_ms_mean,auction_ms_std
static_results,GMRACCR-opt,0.0804983195052764,0.16912507635858007,1.5720175238934138,0.6922198547571337,1.0,4.480889423076923,0.0,0.09346655403930247,2.435508322496645,0,,,,,,,,,,,,,,,,,,
static_results,Sequential auction,0.08126659247893862,0.11495138587144153,1.5871200105474585,0.7502811845315558,1.0,4.299158653846154,0.0,0.09358237075881184,2.8665874980394626,0,,,,,,,,,,,,,,,,,,
static_results,Avg-greedy,0.08012975131867968,0.13967825320309668,1.7088217680767126,0.7491683475707752,1.0,4.436057692307693,0.0,0.09346543838038449,2.8503759261538644,0,,,,,,,,,,,,,,,,,,
static_results,Random,0.08096028587354802,0.17555257646107902,1.5873655452449904,0.7464322402039288,1.0,3.979086538461539,0.0,0.09276111929384254,2.4103579467799703,0,,,,,,,,,,,,,,,,,,
scarce_results,Sequential auction multi-role,0.08415980922635999,0.1583951403125292,1.5856868157496327,0.7068366919854963,1.0,4.255288461538462,0.1,0.09671270327488107,1.4466376140772108,0,,,,,,,,,,,,,,,,,,
scarce_results,GMRA-multi,0.08840816436915518,0.12912190414973862,1.8147841407444754,0.7653500848036714,1.0,4.405769230769231,-0.4,0.09690070191522179,0.7154020279237358,360,,,,,,,,,,,,,,,,,,
scarce_results,GMRACCR-multi,0.08052475681770403,0.1578474537524451,1.5945255711717572,0.7245254140732057,1.0,4.261778846153846,0.9,0.09683340790115877,2.976702213015552,0,,,,,,,,,,,,,,,,,,
failure_results,No-reassignment,0.08201724932084828,0.16578081136404843,1.4442641124776479,0.6790975397188914,0.9,3.4808894230769236,0.0,0.09599249109197104,2.8501320397884293,0,,,,,,,,,,,,,,,,,,
failure_results,Reassignment,0.2874113713300438,0.2462770651859482,1.018576837645637,0.7584595784763124,1.0,4.187620192307693,0.0,0.09488816156276991,0.4645274935145488,26,,,,,,,,,,,,,,,,,,
disturbance_results,Current-only,0.20016951612348804,0.2540108809440937,1.4956643785267956,0.5856709304856377,1.0,4.480889423076923,0.0,0.11894785378056422,0.2446406530699191,131,,,,,,,,,,,,,,,,,,
disturbance_results,Current+collision-aware,0.18979591261678463,0.2683715011540709,1.5129824745099454,0.5990071229082766,1.0,4.480889423076923,0.0,0.09944505525749531,0.37928204179060915,100,,,,,,,,,,,,,,,,,,
